Order ID,Product,Quantity,Price,Date,Customer Name,Customer Email,Customer City
1,Product E,5,624.93,2020-07-25,Customer 1,customer1@example.com,Phoenix
2,Product E,4,825.64,2019-01-20,Customer 2,customer2@example.com,Chicago
3,Product C,5,868.0,2019-01-04,Customer 3,customer3@example.com,San Antonio
4,Product A,5,397.35,2020-11-11,Customer 4,customer4@example.com,Phoenix
5,Product B,5,724.78,2020-09-07,Customer 5,customer5@example.com,San Antonio
6,Product D,3,516.51,2020-09-17,Customer 6,customer6@example.com,Dallas
7,Product E,3,364.67,2020-10-06,Customer 7,customer7@example.com,San Antonio
8,Product C,1,307.45,2020-09-27,Customer 8,customer8@example.com,Miami
9,Product C,1,913.96,2020-02-05,Customer 9,customer9@example.com,Phoenix
10,Product C,1,319.97,2019-12-09,Customer 10,customer10@example.com,Chicago
11,Product B,3,977.31,2020-05-26,Customer 11,customer11@example.com,San Antonio
12,Product A,5,175.23,2020-03-05,Customer 12,customer12@example.com,Chicago
13,Product E,5,71.28,2019-11-11,Customer 13,customer13@example.com,San Antonio
14,Product E,1,176.33,2019-05-08,Customer 14,customer14@example.com,Philadelphia
15,Product D,2,815.63,2020-05-05,Customer 15,customer15@example.com,Chicago
16,Product B,2,293.54,2020-10-15,Customer 16,customer16@example.com,Philadelphia
17,Product C,5,911.67,2019-08-06,Customer 17,customer17@example.com,Dallas
18,Product E,1,59.84,2020-02-24,Customer 18,customer18@example.com,Chicago
19,Product C,1,327.95,2020-01-11,Customer 19,customer19@example.com,Houston
20,Product D,1,38.82,2019-03-23,Customer 20,customer20@example.com,San Diego
21,Product B,1,542.42,2019-04-15,Customer 21,customer21@example.com,Los Angeles
22,Product E,2,382.75,2019-05-11,Customer 22,customer22@example.com,San Antonio
23,Product C,3,276.04,2019-06-30,Customer 23,customer23@example.com,Philadelphia
24,Product C,4,566.68,2019-03-10,Customer 24,customer24@example.com,Los Angeles
25,Product E,1,68.37,2019-05-04,Customer 25,customer25@example.com,Houston
26,Product E,4,49.72,2020-08-10,Customer 26,customer26@example.com,San Diego
27,Product E,2,842.25,2019-04-11,Customer 27,customer27@example.com,Los Angeles
28,Product D,2,603.45,2019-04-24,Customer 28,customer28@example.com,Houston
29,Product D,1,876.31,2020-01-12,Customer 29,customer29@example.com,San Diego
30,Product C,5,567.45,2020-07-23,Customer 30,customer30@example.com,San Antonio
31,Product D,1,211.98,2019-11-16,Customer 31,customer31@example.com,San Antonio
32,Product A,5,560.94,2019-12-21,Customer 32,customer32@example.com,Los Angeles
33,Product D,4,60.35,2019-06-05,Customer 33,customer33@example.com,Houston
34,Product A,4,956.89,2019-11-18,Customer 34,customer34@example.com,Los Angeles
35,Product D,1,117.46,2020-01-08,Customer 35,customer35@example.com,Houston
36,Product E,2,728.18,2019-02-04,Customer 36,customer36@example.com,Phoenix
37,Product E,5,107.26,2019-09-04,Customer 37,customer37@example.com,New York
38,Product E,4,525.95,2020-07-02,Customer 38,customer38@example.com,Houston
39,Product A,4,367.65,2020-02-13,Customer 39,customer39@example.com,Dallas
40,Product B,5,69.66,2020-10-31,Customer 40,customer40@example.com,Houston
41,Product B,2,402.44,2020-11-10,Customer 41,customer41@example.com,San Antonio
42,Product A,1,708.88,2019-11-01,Customer 42,customer42@example.com,San Diego
43,Product A,2,25.57,2019-03-05,Customer 43,customer43@example.com,Los Angeles
44,Product E,5,761.03,2020-11-08,Customer 44,customer44@example.com,Dallas
45,Product B,1,527.93,2020-04-14,Customer 45,customer45@example.com,Philadelphia
46,Product B,5,901.16,2019-06-08,Customer 46,customer46@example.com,Dallas
47,Product E,5,611.62,2020-09-15,Customer 47,customer47@example.com,Philadelphia
48,Product B,1,191.39,2020-07-10,Customer 48,customer48@example.com,Phoenix
49,Product A,5,328.09,2020-05-08,Customer 49,customer49@example.com,Dallas
50,Product E,2,191.02,2019-07-28,Customer 50,customer50@example.com,Chicago
51,Product C,2,323.5,2020-08-05,Customer 51,customer51@example.com,San Diego
52,Product E,3,949.47,2019-07-23,Customer 52,customer52@example.com,Phoenix
53,Product C,3,44.62,2019-08-30,Customer 53,customer53@example.com,San Diego
54,Product C,4,104.39,2020-09-24,Customer 54,customer54@example.com,Los Angeles
55,Product A,4,638.86,2019-04-19,Customer 55,customer55@example.com,Miami
56,Product A,4,96.19,2019-02-11,Customer 56,customer56@example.com,Philadelphia
57,Product D,3,868.86,2020-12-13,Customer 57,customer57@example.com,Houston
58,Product C,4,548.37,2019-12-09,Customer 58,customer58@example.com,Dallas
59,Product C,5,322.52,2020-12-23,Customer 59,customer59@example.com,San Antonio
60,Product C,5,840.83,2019-02-07,Customer 60,customer60@example.com,Los Angeles
61,Product B,5,521.39,2019-06-26,Customer 61,customer61@example.com,San Diego
62,Product A,5,42.81,2019-02-24,Customer 62,customer62@example.com,New York
63,Product D,5,860.37,2019-01-24,Customer 63,customer63@example.com,Houston
64,Product C,4,223.17,2019-12-02,Customer 64,customer64@example.com,Phoenix
65,Product E,2,695.47,2019-10-19,Customer 65,customer65@example.com,Los Angeles
66,Product D,1,645.6,2019-02-07,Customer 66,customer66@example.com,Houston
67,Product B,4,778.0,2020-01-01,Customer 67,customer67@example.com,Philadelphia
68,Product E,4,527.76,2020-01-03,Customer 68,customer68@example.com,Miami
69,Product E,5,550.67,2019-12-14,Customer 69,customer69@example.com,Los Angeles
70,Product E,3,572.51,2019-07-12,Customer 70,customer70@example.com,Houston
71,Product A,3,443.45,2019-01-28,Customer 71,customer71@example.com,Dallas
72,Product E,2,822.18,2020-02-08,Customer 72,customer72@example.com,Los Angeles
73,Product C,4,538.84,2020-04-21,Customer 73,customer73@example.com,San Diego
74,Product C,2,159.26,2020-01-14,Customer 74,customer74@example.com,San Diego
75,Product E,1,378.76,2020-01-21,Customer 75,customer75@example.com,Dallas
